name,within,within1,lat,long
Illanroe,Kilcommon,Ballycroy South,54.0009587782,-9.849463935
Castlehill,Kilcommon,Ballycroy South,53.9946784298,-9.8079782585
Derrynavglaun,Moyrus,Bencorr,53.47629162,-9.8228548419
Mounthenry,Kilnanare,Kilnanare,52.1580932899,-9.6542272125
Gortbrack South,Kilcommon,Ballycroy North,54.0323371561,-9.811784844
Tullaghaunnashammer,Kilcommon,Goolamore,54.1169872794,-9.814613167
Gortagraffer,Killaconenagh,Curryglass,51.6614397581,-9.8287414501
Gleninagh (Moyrus),Moyrus,Bencorr,53.5224587679,-9.7970948625
Gortsallagh,Killaconenagh,Curryglass,51.6689898899,-9.8235016282
Lettera,Kilcommon,Ballycroy South,54.0103714833,-9.7785934028
Deelis,Kilcaskan,Banawn,51.8096012929,-9.5272787289
Cregganawoddy,Kilgeever,Kilgeever,53.6911952762,-9.8161204295
Garrane East,Killorglin,Killorglin,52.1215841314,-9.8161471087
Srahroosky,Kilgeever,Kilgeever,53.6788045882,-9.8073122799
Cushlecka,Burrishoole,Corraun Achill,53.8984042319,-9.8024533069
Rusheennamanagh,Moyrus,Skannive,53.3167233992,-9.801703703
Struaun,Aglish,Castlebar Rural,53.8462692737,-9.3456720872
Bellaveeny,Kilcommon,Ballycroy South,53.9738568603,-9.7529236394
Illaunaknock,Moyrus,Skannive,53.3877730246,-9.8094674595
Mallaranny,Burrishoole,Newport West,53.9111015557,-9.7797282343
Gowla,Moyrus,Owengowla,53.3924083622,-9.7533645829
Bawnmore,Kilmoyly,Ballynorig,52.3774790421,-9.7883440027
Knockanush West,Clogherbrien,Clogherbrien,52.2848073876,-9.7732769319
Lettershanbally,Ballynakill,Cushkillary,53.5660714963,-9.7643245128
Greenaun,Kilcommon,Ballycroy South,53.9587913604,-9.7564206335
Derryclare,Moyrus,Bencorr,53.4973203913,-9.765214855
Portacloy,Kilcommon,Knockadaff,54.327021428,-9.7719101714
Lettershinna,Moyrus,Moyrus,53.4280975969,-9.7379097573
Bellagarvaun,Kilcommon,Ballycroy South,53.9976646461,-9.7610344691
Tawnycrower,Oughaval,Drummin,53.6700859938,-9.6367037656
Rehy East,Kilballyowen,Rahona,52.5817456922,-9.7608987093
Cloonnacartan,Moyrus,Illion,53.4856583812,-9.7405719243
Letterbreckaun,Ballynakill,Bencorr,53.539248135,-9.7458991462
Kilcoolaght West,Killorglin,Kilgobnet,52.0711255669,-9.7603604783
Attavally Island,Kilcommon,Bangor,54.1675568407,-9.7728773898
Kilmurvy,Ãrainn,Ãrainn,53.1299019106,-9.7453992266
Issane,Iveruss,Iveruss,52.6390857321,-8.9520548413
Coolaruane,Kiltomy,Lixnaw,52.4081463442,-9.6388795251
Muingnabo,Kilcommon,Moing na BÃ³,54.2769711672,-9.7310402202
Glenturk More,Kilcommon,Glenamoy,54.2034602219,-9.7319429041
Derrygarrane South,Templenoe,Loughbrin,51.9101747844,-9.7468280907
Bunnahowna,Burrishoole,Newport West,53.914588407,-9.7418878225
Bellagelly South,Kilcommon,Glenamoy,54.2362999928,-9.7200073814
Porturlin,Kilcommon,Moing na BÃ³,54.3145439196,-9.7305579302
Laghta Oughter,Kilgeever,Kilgeever,53.6885005571,-9.7146770801
Scarteen,Templenoe,Loughbrin,51.9140435119,-9.7266750487
Bellagelly North,Kilcommon,Glenamoy,54.2554210211,-9.6957700737
An CheathrÃº Rua Thuaidh,Kilcummin,An CrompÃ¡n,53.2902242679,-9.5856019446
Kilcaskan,Kilcaskan,Adrigole,51.7276793757,-9.7121262363
Srahataggle,Kilcommon,Moing na BÃ³,54.2951084814,-9.6819963748
Canshanavoe,Kilcaskan,Adrigole,51.7292200384,-9.693442368
Durless,Oughaval,Kilsallagh,53.7315237807,-9.689239024
Killeany,Ãrainn,Ãrainn,53.1097532103,-9.6666775117
Tawnyslinnaun,Oughaval,Kilsallagh,53.7150683673,-9.6892839124
Derryvoreada,Moyrus,Illion,53.5053911632,-9.6873224522
Maumaratta,Kilcommon,Ballycroy South,54.0079637406,-9.6543254614
North Island,Moyrus,Owengowla,53.330318483,-9.6916025861
Treel,Burrishoole,Newport West,53.9431399383,-9.6709542206
Shananagh,Ratass,Ballyseedy,52.2383815894,-9.6888384817
Barraglanna,Oughaval,Kilsallagh,53.7421718633,-9.6587211926
Ballyrisode,Kilmoe,Toormore,51.5086791726,-9.6712513619
Tonreagh,Kiltallagh,Kiltallagh,52.186294925,-9.6798875759
Letterbrock,Aghagower,Slievemahanagh,53.7225263695,-9.5854542329
Ballyeagh,Killehenny,Killehenny,52.4914348276,-9.6696036596
Boheeshal,Moyrus,Moyrus,53.4323519365,-9.6639862959
Greeve Island,Moyrus,Owengowla,53.3373416974,-9.67563776
Derrymore,Oughaval,Drummin,53.7176491108,-9.6611489027
Glennamong,Burrishoole,Srahmore,53.9694476246,-9.6279707049
Shanvally Beg,Oughaval,Drummin,53.6897095814,-9.6413850257
Toormore,Kilmoe,Toormore,51.5226047433,-9.6521135725
Illaungurraig,Moyrus,Owengowla,53.3149264121,-9.6607710887
Farranedmond,Rattoo,Ballyduff,52.4508470475,-9.6542376117
Lackavane,Kilcaskan,Adrigole,51.7094539832,-9.6453332056
Gullane West,Kilconly,Gullane,52.5566682315,-9.6439839346
Derryco,Rattoo,Ballyduff,52.4729318466,-9.6412873478
Pollanoughty,Oughaval,Drummin,53.7142382954,-9.6328412633
Roeillaun,Kilcummin,Turlough,53.3499497125,-9.6459568961
Clynish,Kilmeena,Kilmeena,53.8432179209,-9.6369113848
Kilnanare,Kilnanare,Kilnanare,52.1637182481,-9.6316080216
Cunnagare,Kilcaragh,Lixnaw,52.3957700139,-9.6326818134
Cuilmore,Oughaval,Drummin,53.6813237537,-9.6169838114
Kilmulhane,Killehenny,Killehenny,52.4962479862,-9.6282291443
Oghillees,Burrishoole,Newport West,53.9294503113,-9.6265251394
Barnadarrig,Killehenny,Killehenny,52.5036148199,-9.6292829136
Srahmore,Burrishoole,Srahmore,53.9867886386,-9.5945585832
Letterkeen,Burrishoole,Srahmore,54.0140875939,-9.5912588743
An CheathrÃº Rua Theas,Kilcummin,An CrompÃ¡n,53.2500467625,-9.614316365
Eragh Island South,Kilcummin,An CrompÃ¡n,53.2763499363,-9.6293091903
Knockadav,Kilcummin,Turlough,53.4141518359,-9.5837102832
Tonreagh Upper,Ballymacelligott,Arabela,52.2813932907,-9.6237226235
Bealadangan,Cill AithnÃ­n,Lettermore,53.3203219675,-9.6041370257
Brisla West,Kilmacduane,Cooraclare,52.68764397,-9.412135308
Carrowntemple,Inis MeÃ¡in,Ãrainn,53.0848592445,-9.5985227388
Ahascra,Ballyconry,Ballyconry,52.4687964916,-9.6101495466
Glencoh,Kilcummin,Turlough,53.3857884302,-9.5915544621
Farrandeen,Kilcaragh,Lixnaw,52.411414529,-9.6098297181
Carrownlisheen,Inis MeÃ¡in,Ãrainn,53.0819488861,-9.5819656472
Rusheen,Kilmeena,Kilmeena,53.8145055295,-9.5958010924
Toohana,Ballyconry,Ballyconry,52.4751054541,-9.5990872971
Westport Demense,Kilmeena,Kilmeena,53.8105367491,-9.5653676924
Acres,Aglish,Rockfield,52.1432558578,-9.5956334519
Foorannagh,Kilcummin,Oughterard,53.4605066784,-9.3254199062
Derryaun,Oughaval,Drummin,53.6975055933,-9.5878875973
Tubbrid Beg,Crossmolina,Bunaveela,54.0580936612,-9.5513678445
Ullauns,Killarney,Muckross,51.9506088466,-9.5568428127
Rathanny,Ballymacelligott,Nohavel,52.2671996149,-9.5747961005
Muckanaghederdauhaulia,Kilcummin,An CrompÃ¡n,53.331030149,-9.5705652008
Ballyhar,Kilcredane,Ballyhar,52.1176830936,-9.5672475357
Goulaun,Crossmolina,Bunaveela,54.0127593487,-9.56036365
Derravonniff,Kilcummin,Camus,53.3880963854,-9.5526641381
Roslaher,Kilmeena,Derryloughan,53.8593945976,-9.567252038
Burr Island,Cong,Cong,53.4883828913,-9.313648544
Carrigeenaskibbole Island,Burrishoole,Newport East,53.8915085945,-9.5725529274
Rathavisteen,Doonfeeny,BÃ©al Deirg MÃ³r,54.2666208122,-9.54442511
Meanus,Currans,Currans,52.1941814159,-9.5548189553
Sixpenny Island,Burrishoole,Derryloughan,53.8751057203,-9.5638130857
Kinvarra,Kilcummin,Camus,53.3343075106,-9.5453093836
Carrownalurgan,Oughaval,Westport Rural,53.7831443439,-9.5336275757
Carrowbeg South,Burrishoole,Derryloughan,53.8730522791,-9.5536412782
Cloonacurrig,Dysert,Castleisland,52.2104889444,-9.5003100706
Inis OÃ­rr,Inis OÃ­rr,Ãrainn,53.0570966541,-9.528057855
Illaunnaginga,Kilcummin,Camus,53.3825221091,-9.5613829912
Kilcock Lower,Lisselton,Lisselton,52.5220462373,-9.5518563209
Leitir MucÃº,Kilcummin,Camus,53.3203066555,-9.5308738334
Lobinish,Cill AithnÃ­n,An CrompÃ¡n,53.2860924384,-9.55702798
Ross Island,Killarney,Killarney Rural,52.0392223255,-9.5375116962
Muckross,Killarney,Muckross,52.0198540371,-9.5126952775
Gortcurreen,Listowel,Listowel Rural,52.445204034,-9.5253489498
Knockatarriv,Ballymacelligott,Nohavel,52.2843485016,-9.515064554
Skerdagh Upper,Burrishoole,Newport East,53.9405960064,-9.5131291113
Knockeen,Castleisland,Castleisland,52.2401711433,-9.5080927763
Glendavoolagh,Crossmolina,Bunaveela,54.0066362863,-9.4972245054
Lousy Castle Island,Kilmocomoge,Whiddy,51.6795959491,-9.5122554365
Carthy's Island,Skull,Ballydehob,51.4951077638,-9.5070170285
Gortard,Aghavallen,Carrig,52.5567568984,-9.4959007802
Shanvolahan,Crossmolina,Deel,54.1208099291,-9.4631464095
Trawnahaha,Kilmocomoge,Whiddy,51.6858952818,-9.4964140673
An LÃ©im Thiar,Kilcummin,Kilcummin,53.4275252139,-9.4740946271
Claggarnagh West,Addergoole,Glenhest,53.9271666695,-9.4790523998
Keenagh Beg,Crossmolina,Derry,54.0364041693,-9.4748578759
Glenlusk,Cong,Cong,53.5024861964,-9.4742277787
Derryloughan South,Burrishoole,Derryloughan,53.8917075232,-9.478092
Gortnaheltia,Addergoole,Glenhest,53.9450705589,-9.4613785804
Dooneen Island,Ross,Cong,53.5576930969,-9.4849810609
Shanagh,Aghagower,Aghagower North,53.7803075415,-9.4839432945
Cloondaff,Addergoole,Glenhest,53.9507611855,-9.4399220405
Beheens East,Kilshenane,Rathea,52.4043249863,-9.471586529
Drumellihy (Mac Donnell),Kilmacduane,Drumellihy,52.7157612657,-9.4594690831
Island Beg,Ross,Cloonbur,53.5594525023,-9.4775547803
Derryribbeen,Kilmaclasser,Kilmaclasser,53.8638286279,-9.4592577372
Creggannaseer,Aghagower,Aghagower North,53.7711203262,-9.4724359066
Gortdromakiery,Killarney,Coolies,51.9884224765,-9.4434978654
Ballykinlettragh,Kilfian,Kilfian West,54.243823662,-9.4220402795
Derrinumera,Kilmaclasser,Kilmaclasser,53.8784789082,-9.4557837816
Letterneevoge,Crossmolina,Letterbrick,54.0364275379,-9.4451925717
Rapepark,Kilrush,Clooncoorha,52.6445833372,-9.4526485886
Glennagashleeny,Ballyovey,Cappaghduff,53.6778582428,-9.4354797228
Seanadh PhÃ©istÃ­n,Kilcummin,Sailearna,53.3430428877,-9.4226631729
Cushinkeel,Aghagower,Aghagower North,53.7961434045,-9.4444584908
Caher,Kilmocomoge,Bantry Rural,51.7011794153,-9.4423580934
Letterkeeghaun,Addergoole,Glenhest,53.9742795279,-9.4233923472
Derreen,Crossmolina,Letterbrick,53.9889120057,-9.4225653422
Cominch,Crossmolina,Derry,54.07202252,-9.4360166698
Mace South,Aghagower,Aghagower North,53.7718720199,-9.4327011516
Bracklagh,Addergoole,Glenhest,53.9592625812,-9.4068937376
FionnÃ¡n,Cill AithnÃ­n,Cill AinnÃ­n,53.3311561016,-9.3750470634
Tree Island,Islandeady,Croaghmoyle,53.9183562398,-9.4334190628
Gortnahurra Lower,Crossmolina,Crossmolina North,54.1390021691,-9.403581872
Low Island,Islandeady,Croaghmoyle,53.9184413688,-9.431787981
Teeraghbeg,Kilmacrehy,Ballysteen,52.9409860102,-9.4106213833
Leitir Creamha Rua,Kilcummin,Oughterard,53.3836949458,-9.4060616569
Rangaroe,Kilmocomoge,Ahil,51.7681841176,-9.4078994586
Forrew,Moygawnagh,Kilfian South,54.1564153501,-9.3902874263
Derradda,Kilcummin,Oughterard,53.4003775507,-9.3933773421
Gortbunacullin,Ballyovey,Ballyovey,53.6896768665,-9.3760833274
Lettercraff,Kilcummin,Oughterard,53.4356756285,-9.3872742035
Kildeema South,Kilfarboy,Annagh,52.8252447599,-9.3888795622
Derrassa,Ballyovey,Ballyovey,53.7006702535,-9.3859464195
Coolmuinga,Kilrush,Knock,52.6668959743,-9.3862938917
Curraghmore,Addergoole,Ballynagoraher,53.9688640314,-9.3298122294
Enagh Beg,Crossmolina,Deel,54.1105241918,-9.372834528
Illaunribbeen,Cong,Cong,53.5057806288,-9.3873160291
Claggarnagh East,Islandeady,Islandeady,53.8236603386,-9.3768244037
Inchincoosh,Kilgarvan,Kilgarvan,51.9363334142,-9.3637316147
Red Island,Ross,Cloonbur,53.5635895209,-9.3814043175
Cloghbrack Far,Addergoole,Ballynagoraher,53.9892260352,-9.3584776367
Dromnacaheragh,Aghadown,Aghadown South,51.5293297593,-9.3725701804
Lettercannon,Kilgarvan,Glanlee,51.9302508558,-9.3478474204
Cahermurphy,Kilmihil,Cahermurphy,52.7605963766,-9.3298352821
Gortdrisagh,Kilcummin,Oughterard,53.4584807988,-9.3414213978
Inchagreenoge,Robertstown,Craggs,52.5896826079,-9.0841812266
Craggycorradan West,Killilagh,Lurraga,53.0441229304,-9.3500543312
Burren,Aglish,Burren,53.9263204232,-9.3216168301
Cuilmullagh,Addergoole,Ballynagoraher,53.9543780236,-9.3297299433
Cartron,Addergoole,Addergoole,54.0378177388,-9.3352694716
Islandboy West,Duagh,Duagh,52.4066549061,-9.3400282323
Tullyvealnaslee,Kilcummin,Oughterard,53.4394676153,-9.3348710168
Letter,Cill AithnÃ­n,Sliabh an Aonaigh,53.3570006497,-9.3083878114
Inishard,Ballinchalla,Neale,53.5844407184,-9.3125189486
Gortnagusetaul,Mayo,Mayo,53.7582723684,-9.1230290063
Fough East,Kilcummin,Oughterard,53.4306312438,-9.3166738412
Ardillaun,Cong,Cloonbur,53.517531671,-9.3148615532
Killaguile,Cill AithnÃ­n,Wormhole,53.3802384891,-9.2901259399
Knockglass,Crossmolina,Ardagh,54.1180239899,-9.2976851781
Cartron,Ballinrobe,Ballinrobe,53.6171631533,-9.3032582932
Commauns,Turlough,Burren,53.9262499986,-9.296661854
Slieveaneena,Moycullen,Sliabh an Aonaigh,53.3201446169,-9.2760888261
Deelish,Abbeystrowry,Skibbereen Rural,51.5471221123,-9.296631642
Attavally,Ballintober,Killavally,53.7635968347,-9.3018321323
Knockphutteen,Killofin,Killofin,52.6111028101,-9.2894472044
Aghinish,Ballyovey,Portroyal,53.6535394614,-9.2806064785
Killeencreevagh,Rathreagh,Lacken South,54.2229760827,-9.2935965452
Knockranny,Moycullen,Sliabh an Aonaigh,53.3464965184,-9.2627035782
Cloonanaha,Inagh,Cloonanaha,52.8730772026,-9.2673154878
Knockaunranny,Moycullen,Sliabh an Aonaigh,53.3666827225,-9.2473112151
Illaunaconaun,Kilcummin,Oughterard,53.4421297593,-9.2767055268
Carrad More,Templemurry,Lacken South,54.2401472572,-9.2671007653
Urkaunbeg,Kilcummin,Oughterard,53.4563346469,-9.279336477
Derriniddane,Kilfiddane,Kilfiddane,52.6679135859,-9.2647623991
Knockroe,Templemurry,Lacken South,54.2357825159,-9.272828178
Church Island,Ballintober,Tawnynagry,53.7237470419,-9.2734949028
Glasgort,Ballintober,Clogher,53.7550151018,-9.2666033562
Ardnasillagh,Kilcummin,Oughterard,53.4208801,-9.2564752241
Knockaskeehaun,Kilfian,Fortland,54.145150833,-9.2642289864
Mearing Island,Ballintober,Tawnynagry,53.739052273,-9.2719545409
Cloonlagheen,Ballyovey,Portroyal,53.6730225594,-9.2633883096
Inishbeagh,Kilcummin,Oughterard,53.466202255,-9.2694285792
Bird Island,Ballintober,Clogher,53.7377936407,-9.2669608391
Carn,Ballinrobe,Ballinrobe,53.6087145551,-9.2554858757
Druminracahill,Breaghwy,Castlebar Rural,53.8315841735,-9.2627288495
Ballycally,Burriscarra,Burriscarra,53.7034815617,-9.2413616516
Ard,Kilcummin,Oughterard,53.4312173875,-9.24418092
Springvale,Ballinrobe,Ballinrobe,53.6262603868,-9.2462443213
Srue,Kilcummin,Wormhole,53.4118324775,-9.2281341472
Hog Island,Burriscarra,Burriscarra,53.6831471501,-9.2364543453
Glencollins Upper,Nohavaldaly,Williamstown,52.1768831501,-9.2156090705
Knockaglana,Turlough,Pontoon,53.9720817848,-9.2159210853
Bolooghra,Kilfiddane,Kilfiddane,52.713996759,-9.2070994244
Drumnashinnagh,Burriscarra,Burriscarra,53.7233488015,-9.2289976114
Carrowreagh East,Kilfiddane,Kilfiddane,52.6951160836,-9.2184402311
Knockbaun,Drum,Breaghwy,53.7981597676,-9.2268983636
Ballyea South,Inagh,Ballyea,52.902704507,-9.2022212979
Doonbeg Island,Ballinrobe,Ballinrobe,53.6760678916,-9.2310395822
Knockacurreen,Burriscarra,Burriscarra,53.7296796544,-9.2242631306
Crossderry,Killadysert,Coolmeen,52.6711712391,-9.1988754108
Carrick Hill,Breaghwy,Breaghwy,53.8469004238,-9.2207079242
Cornaroya,Ballinrobe,Ballinrobe,53.6202622766,-9.207655966
Rabbit Island,Kilcummin,Oughterard,53.4412120179,-9.2182134419
Formoyle Oughteragh West,Inagh,Formoyle,52.8446726597,-9.2015243307
Corranellistrum,Kilcummin,Wormhole,53.4128758104,-9.2102361095
Loughanspark,Belclare,Claretuam,53.4613864103,-8.9551380329
Houndswood North,Cong,Houndswood,53.5355325724,-9.202520988
Rinnaknock,Killursa,Killursa,53.4473004648,-9.2069161738
Reanagishagh,Kilmaley,Furroor,52.8150910174,-9.1956137792
Polleeny,Rahoon,Na Forbacha,53.269513893,-9.192871043
Red Island,Shrule,Shrule,53.5005885437,-9.2101771857
Coolcran,Kilbelfad,Carrowmore,54.0504941509,-9.2017188163
Derrygullinaun,Kilbelfad,Carrowmore,54.0597084771,-9.1987910868
Cuingmore,Kilbelfad,Sraheen,53.9871616891,-9.1854732497
Illanee,Turlough,Pontoon,53.9655242885,-9.1876286187
Clydagh,Cargin,Killursa,53.4345027008,-9.1739079398
Ballyroe,Loghill,Loghill,52.5826047398,-9.1766349162
Cloghboley,Kildacoomoge,Manulla,53.8573089861,-9.177936692
Carrowreaghmony,Touaghty,Rosslee,53.7415846004,-9.1778845597
Coomacheo,Drishane,Caherbarnagh,52.0210057174,-9.1580207787
Cahernamallaght,Ballinrobe,Kilmaine,53.6106571996,-9.172516968
Ballyduff Beg,Inagh,Formoyle,52.8698917943,-9.1617001692
Knockatemple,Kilnamona,Kilnamona,52.8672708258,-9.0842033256
Laghtadawannagh,Kilmoremoy,Ballina Rural,54.1314289606,-9.1687637196
Illaunbrock More,Gleninagh,Gleninagh,53.1331272442,-9.176285645
Illaunduff,Drumcreehy,Drumcreehy,53.1314595105,-9.1778563488
Muckanagh,Turlough,Strade,53.9488239159,-9.1636306882
Illaunbrock Beg,Drumcreehy,Drumcreehy,53.1319022557,-9.1754050682
Cloongowna,Kilnamona,Killanniv,52.8576425186,-9.1404330146
Cloonark,Ballinrobe,Hollymount,53.6466584191,-9.1525482815
Blessingtown,Kilmainemore,Kilmaine,53.5984639844,-9.160804109
Stonepark,Rosslee,Ballinafad,53.7754674677,-9.1512068658
Derrynacarragh,Kilmaley,Killanniv,52.8358678961,-9.1411366944
Gortmore,Cill AithnÃ­n,Wormhole,53.394268671,-9.1388549397
Park,Cill AithnÃ­n,Wormhole,53.4033496586,-9.132147426
Horse Island,Killala,Kilalla,54.2016390529,-9.1503154576
Ballard West,Rahoon,Bearna,53.2627421811,-9.1462827996
